id,method,cue_a,cue_b,expected,pred,success,coarse_visited,fine_steps,runtime_ms,candidates,grid,seed,n_queries
q00020,nn,c4_088,c1_088,bridge_c1_c4,c4_088,0,0,0,0.0051,256,1,42,2000
q00020,minsim,c4_088,c1_088,bridge_c1_c4,bridge_c1_c4,1,0,0,0.0075,256,1,42,2000
q00020,graph_ppr,c4_088,c1_088,bridge_c1_c4,c1_062,0,0,0,3.3378,256,1,42,2000
q00020,topogps,c4_088,c1_088,bridge_c1_c4,c4_042,0,6,120,7.2709,256,1,42,2000
q00020,topogps_cuepath,c4_088,c1_088,bridge_c1_c4,bridge_c1_c4,1,6,0,0.9754,256,1,42,2000
q00020,topogps_no_cue,c4_088,c1_088,bridge_c1_c4,c4_088,0,525,120,8.9302,256,1,42,2000
q00021,nn,c3_067,c4_067,bridge_c3_c4,c3_067,0,0,0,0.0053,256,1,42,2000
q00021,minsim,c3_067,c4_067,bridge_c3_c4,bridge_c3_c4,1,0,0,0.0074,256,1,42,2000
q00021,graph_ppr,c3_067,c4_067,bridge_c3_c4,c4_026,0,0,0,3.3996,256,1,42,2000
q00021,topogps,c3_067,c4_067,bridge_c3_c4,c3_076,0,7,120,7.2809,256,1,42,2000
q00021,topogps_cuepath,c3_067,c4_067,bridge_c3_c4,bridge_c3_c4,1,7,0,0.9767,256,1,42,2000
q00021,topogps_no_cue,c3_067,c4_067,bridge_c3_c4,c3_067,0,186,120,7.2356,256,1,42,2000
q00022,nn,c1_020,c0_020,bridge_c0_c1,c1_020,0,0,0,0.0052,256,1,42,2000
q00022,minsim,c1_020,c0_020,bridge_c0_c1,bridge_c0_c1,1,0,0,0.0075,256,1,42,2000
q00022,graph_ppr,c1_020,c0_020,bridge_c0_c1,c0_010,0,0,0,3.3228,256,1,42,2000
q00022,topogps,c1_020,c0_020,bridge_c0_c1,c1_118,0,9,120,7.7359,256,1,42,2000
q00022,topogps_cuepath,c1_020,c0_020,bridge_c0_c1,c1_083,0,9,0,1.3171,256,1,42,2000
q00022,topogps_no_cue,c1_020,c0_020,bridge_c0_c1,c1_020,0,255,120,7.5462,256,1,42,2000
q00023,nn,c2_019,c3_019,bridge_c2_c3,c2_019,0,0,0,0.0053,256,1,42,2000
q00023,minsim,c2_019,c3_019,bridge_c2_c3,bridge_c2_c3,1,0,0,0.0074,256,1,42,2000
q00023,graph_ppr,c2_019,c3_019,bridge_c2_c3,c2_045,0,0,0,3.398,256,1,42,2000
q00023,topogps,c2_019,c3_019,bridge_c2_c3,c2_045,0,7,120,7.4492,256,1,42,2000
q00023,topogps_cuepath,c2_019,c3_019,bridge_c2_c3,c2_045,0,7,0,1.1076,256,1,42,2000
q00023,topogps_no_cue,c2_019,c3_019,bridge_c2_c3,c2_019,0,284,120,7.6954,256,1,42,2000
q00024,nn,c1_020,c3_020,bridge_c1_c3,c1_020,0,0,0,0.0051,256,1,42,2000
q00024,minsim,c1_020,c3_020,bridge_c1_c3,bridge_c1_c3,1,0,0,0.0077,256,1,42,2000
q00024,graph_ppr,c1_020,c3_020,bridge_c1_c3,c3_016,0,0,0,3.3424,256,1,42,2000
q00024,topogps,c1_020,c3_020,bridge_c1_c3,c1_071,0,9,120,7.6486,256,1,42,2000
q00024,topogps_cuepath,c1_020,c3_020,bridge_c1_c3,c1_083,0,9,0,1.3168,256,1,42,2000
q00024,topogps_no_cue,c1_020,c3_020,bridge_c1_c3,c1_020,0,267,120,7.7009,256,1,42,2000
q00025,nn,c2_062,c1_062,bridge_c1_c2,c2_062,0,0,0,0.0055,256,1,42,2000
q00025,minsim,c2_062,c1_062,bridge_c1_c2,bridge_c1_c2,1,0,0,0.0076,256,1,42,2000
q00025,graph_ppr,c2_062,c1_062,bridge_c1_c2,c2_089,0,0,0,3.3346,256,1,42,2000
q00025,topogps,c2_062,c1_062,bridge_c1_c2,c2_094,0,6,120,7.431,256,1,42,2000
q00025,topogps_cuepath,c2_062,c1_062,bridge_c1_c2,bridge_c1_c2,1,6,0,1.0505,256,1,42,2000
q00025,topogps_no_cue,c2_062,c1_062,bridge_c1_c2,c2_062,0,289,120,7.6717,256,1,42,2000
q00026,nn,c0_017,c3_017,bridge_c0_c3,c0_017,0,0,0,0.0053,256,1,42,2000
q00026,minsim,c0_017,c3_017,bridge_c0_c3,bridge_c0_c3,1,0,0,0.0077,256,1,42,2000
q00026,graph_ppr,c0_017,c3_017,bridge_c0_c3,c3_042,0,0,0,3.3357,256,1,42,2000
q00026,topogps,c0_017,c3_017,bridge_c0_c3,c0_033,0,6,120,7.3474,256,1,42,2000
q00026,topogps_cuepath,c0_017,c3_017,bridge_c0_c3,bridge_c0_c3,1,6,0,0.9992,256,1,42,2000
q00026,topogps_no_cue,c0_017,c3_017,bridge_c0_c3,c0_017,0,197,120,7.2901,256,1,42,2000
q00027,nn,c1_043,c0_043,bridge_c0_c1,c1_043,0,0,0,0.0051,256,1,42,2000
q00027,minsim,c1_043,c0_043,bridge_c0_c1,bridge_c0_c1,1,0,0,0.0074,256,1,42,2000
q00027,graph_ppr,c1_043,c0_043,bridge_c0_c1,c1_110,0,0,0,3.8447,256,1,42,2000
q00027,topogps,c1_043,c0_043,bridge_c0_c1,bridge_c1_c2,0,7,120,9.8004,256,1,42,2000
q00027,topogps_cuepath,c1_043,c0_043,bridge_c0_c1,c1_006,0,7,0,1.515,256,1,42,2000
