id,task,method,cue_a,cue_b,expected,pred,success,coarse_visited,fine_steps,runtime_ms,candidates,grid,seed,n_queries
q00029,associative,topogps,c0_062,c2_062,bridge_c0_c2_062,bridge_c0_c2_062,1,3,0,0.7802,256,1,42,2000
q00029,associative,topogps_cuepath,c0_062,c2_062,bridge_c0_c2_062,bridge_c0_c2_062,1,3,0,0.5041,256,1,42,2000
q00029,associative,topogps_no_cue,c0_062,c2_062,bridge_c0_c2_062,bridge_c0_c3_032,0,2500,120,22.0006,256,1,42,2000
q00030,associative,nn,c3_013,c2_013,bridge_c2_c3_013,c3_013,0,0,0,0.0083,256,1,42,2000
q00030,associative,minsim,c3_013,c2_013,bridge_c2_c3_013,c3_034,0,0,0,0.0128,256,1,42,2000
q00030,associative,graph_ppr,c3_013,c2_013,bridge_c2_c3_013,bridge_c2_c3_013,1,0,0,10.2162,256,1,42,2000
q00030,associative,topogps,c3_013,c2_013,bridge_c2_c3_013,bridge_c2_c3_013,1,3,0,0.7977,256,1,42,2000
q00030,associative,topogps_cuepath,c3_013,c2_013,bridge_c2_c3_013,bridge_c2_c3_013,1,3,0,0.5382,256,1,42,2000
q00030,associative,topogps_no_cue,c3_013,c2_013,bridge_c2_c3_013,bridge_c3_c4_064,0,2414,120,20.6829,256,1,42,2000
q00031,associative,nn,c0_004,c3_004,bridge_c0_c3_004,c0_004,0,0,0,0.0083,256,1,42,2000
q00031,associative,minsim,c0_004,c3_004,bridge_c0_c3_004,c3_078,0,0,0,0.0129,256,1,42,2000
q00031,associative,graph_ppr,c0_004,c3_004,bridge_c0_c3_004,bridge_c0_c3_004,1,0,0,10.0789,256,1,42,2000
q00031,associative,topogps,c0_004,c3_004,bridge_c0_c3_004,bridge_c0_c3_004,1,3,0,0.8065,256,1,42,2000
q00031,associative,topogps_cuepath,c0_004,c3_004,bridge_c0_c3_004,bridge_c0_c3_004,1,3,0,0.5367,256,1,42,2000
q00031,associative,topogps_no_cue,c0_004,c3_004,bridge_c0_c3_004,c0_004,0,2500,120,22.0362,256,1,42,2000
q00032,associative,nn,c0_014,c1_014,bridge_c0_c1_014,c0_014,0,0,0,0.0094,256,1,42,2000
